Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
42,1773521005,2026-03-14T13:43:25,,,yes,
Sequence id,Time sec,Datetime,Yes px,No px,Side taken,Size
2055,1773521367,2026-03-14T13:49:27,,,no,
2056,1773521367,2026-03-14T13:49:27,,,no,
2057,1773521367,2026-03-14T13:49:27,,,no,
4367,1773521578,2026-03-14T13:52:58,,,yes,
5281,1773521652,2026-03-14T13:54:12,,,no,
5290,1773521653,2026-03-14T13:54:13,,,yes,
